Company Name,Industry,Symbol
3M,Industrials,MMM
A. O. Smith,Industrials,AOS
Abbott Laboratories,Health Care,ABT
AbbVie,Health Care,ABBV
Accenture,Information Technology,ACN
Adobe Inc.,Information Technology,ADBE
Advanced Micro Devices,Information Technology,AMD
AES Corporation,Utilities,AES
Aflac,Financials,AFL
Agilent Technologies,Health Care,A
Air Products,Materials,APD
Airbnb,Consumer Discretionary,ABNB
Akamai Technologies,Information Technology,AKAM
Albemarle Corporation,Materials,ALB
Alexandria Real Estate Equities,Real Estate,ARE
Align Technology,Health Care,ALGN
Allegion,Industrials,ALLE
Alliant Energy,Utilities,LNT
Allstate,Financials,ALL
Alphabet Inc. (Class A),Communication Services,GOOGL
Alphabet Inc. (Class C),Communication Services,GOOG
Altria,Consumer Staples,MO
Amazon,Consumer Discretionary,AMZN
Amcor,Materials,AMCR
Ameren,Utilities,AEE
American Electric Power,Utilities,AEP
American Express,Financials,AXP
American International Group,Financials,AIG
American Tower,Real Estate,AMT
American Water Works,Utilities,AWK
Ameriprise Financial,Financials,AMP
Ametek,Industrials,AME
Amgen,Health Care,AMGN
Amphenol,Information Technology,APH
Analog Devices,Information Technology,ADI
Aon plc,Financials,AON
APA Corporation,Energy,APA
AppLovin,Information Technology,APP
Apollo Global Management,Financials,APO
Apple Inc.,Information Technology,AAPL
Applied Materials,Information Technology,AMAT
Aptiv,Consumer Discretionary,APTV
Arch Capital Group,Financials,ACGL
Archer Daniels Midland,Consumer Staples,ADM
Arista Networks,Information Technology,ANET
Arthur J. Gallagher & Co.,Financials,AJG
Assurant,Financials,AIZ
AT&T,Communication Services,T
Atmos Energy,Utilities,ATO
Autodesk,Information Technology,ADSK
Automatic Data Processing,Industrials,ADP
AutoZone,Consumer Discretionary,AZO
AvalonBay Communities,Real Estate,AVB
Avery Dennison,Materials,AVY
Axon Enterprise,Industrials,AXON
Baker Hughes,Energy,BKR
Ball Corporation,Materials,BALL
Bank of America,Financials,BAC
Baxter International,Health Care,BAX
