CSV files analyzed: 26
- ind_nifty100list.csv: rows=100, symbol_col=Symbol, name_col=Company Name, unique_stocks=100
- ind_nifty200list.csv: rows=200, symbol_col=Symbol, name_col=Company Name, unique_stocks=200
- ind_nifty500LargeMidSmallEqualCapWeighted_list.csv: rows=500, symbol_col=Symbol, name_col=Company Name, unique_stocks=500
- ind_nifty500list.csv: rows=500, symbol_col=Symbol, name_col=Company Name, unique_stocks=500
- ind_nifty500Multicap502525_list.csv: rows=500, symbol_col=Symbol, name_col=Company Name, unique_stocks=500
- ind_nifty50list.csv: rows=50, symbol_col=Symbol, name_col=Company Name, unique_stocks=50
- ind_niftyIndiaFPI150_list.csv: rows=150, symbol_col=Symbol, name_col=Company Name, unique_stocks=150
- ind_niftylargemidcap250list.csv: rows=250, symbol_col=Symbol, name_col=Company Name, unique_stocks=250
- ind_niftymicrocap250_list.csv: rows=251, symbol_col=Symbol, name_col=Company Name, unique_stocks=251
- ind_niftymidcap100list (1).csv: rows=100, symbol_col=Symbol, name_col=Company Name, unique_stocks=100
- ind_niftymidcap100list.csv: rows=100, symbol_col=Symbol, name_col=Company Name, unique_stocks=100
- ind_niftymidcap150list.csv: rows=150, symbol_col=Symbol, name_col=Company Name, unique_stocks=150
- ind_niftymidcap50list (1).csv: rows=50, symbol_col=Symbol, name_col=Company Name, unique_stocks=50
- ind_niftymidcap50list.csv: rows=50, symbol_col=Symbol, name_col=Company Name, unique_stocks=50
- ind_niftymidcapselect_list.csv: rows=25, symbol_col=Symbol, name_col=Company Name, unique_stocks=25
- ind_NiftyMidSmallcap4005050_list.csv: rows=400, symbol_col=Symbol, name_col=Company Name, unique_stocks=400
- ind_niftymidsmallcap400list.csv: rows=400, symbol_col=Symbol, name_col=Company Name, unique_stocks=400
- ind_niftysmallcap100list (1).csv: rows=100, symbol_col=Symbol, name_col=Company Name, unique_stocks=100
- ind_niftysmallcap100list.csv: rows=100, symbol_col=Symbol, name_col=Company Name, unique_stocks=100
- ind_niftysmallcap250list.csv: rows=250, symbol_col=Symbol, name_col=Company Name, unique_stocks=250
- ind_NiftySmallcap500_list.csv: rows=500, symbol_col=Symbol, name_col=Company Name, unique_stocks=500
- ind_niftysmallcap50list.csv: rows=50, symbol_col=Symbol, name_col=Company Name, unique_stocks=50
- ind_niftytotalmarket_list.csv: rows=751, symbol_col=Symbol, name_col=Company Name, unique_stocks=751
- nifty500.csv: rows=501, symbol_col=Symbol, name_col=Company Name, unique_stocks=501
- sp500_backup.csv: rows=503, symbol_col=Symbol, name_col=Company Name, unique_stocks=503
- us_stocks.csv: rows=503, symbol_col=Symbol, name_col=Company Name, unique_stocks=503
Total stock entries across CSVs: 7034
Unique (symbol,name) pairs across CSVs: 1273
